,c_a,unit,scp,station,linename,division,data,time,desc,entries,exits
0,"[""A002",R051,02-00-00,59 ST,NQR456W,BMT,1/13/18,3:00:00,REGULAR,6478878,2193318
1,A002,R051,02-00-00,59 ST,NQR456W,BMT,1/13/18,7:00:00,REGULAR,6478889,2193326
2,A002,R051,02-00-00,59 ST,NQR456W,BMT,1/13/18,11:00:00,REGULAR,6478928,2193408
3,A002,R051,02-00-00,59 ST,NQR456W,BMT,1/13/18,15:00:00,REGULAR,6479103,2193469
4,A002,R051,02-00-00,59 ST,NQR456W,BMT,1/13/18,19:00:00,REGULAR,6479412,2193524
5,A002,R051,02-00-00,59 ST,NQR456W,BMT,1/13/18,23:00:00,REGULAR,6479518,2193563
6,A002,R051,02-00-00,59 ST,NQR456W,BMT,1/14/18,3:00:00,REGULAR,6479547,2193570
7,A002,R051,02-00-00,59 ST,NQR456W,BMT,1/14/18,7:00:00,REGULAR,6479552,2193577
8,A002,R051,02-00-00,59 ST,NQR456W,BMT,1/14/18,11:00:00,REGULAR,6479577,2193636
9,A002,R051,02-00-00,59 ST,NQR456W,BMT,1/14/18,15:00:00,REGULAR,6479698,2193693
10,A002,R051,02-00-00,59 ST,NQR456W,BMT,1/14/18,19:00:00,REGULAR,6479880,2193746
11,A002,R051,02-00-00,59 ST,NQR456W,BMT,1/14/18,23:00:00,REGULAR,6479995,2193768
12,A002,R051,02-00-00,59 ST,NQR456W,BMT,1/15/18,3:00:00,REGULAR,6480011,2193772
13,A002,R051,02-00-00,59 ST,NQR456W,BMT,1/15/18,7:00:00,REGULAR,6480018,2193792
14,A002,R051,02-00-00,59 ST,NQR456W,BMT,1/15/18,11:00:00,REGULAR,6480080,2193969
15,A002,R051,02-00-00,59 ST,NQR456W,BMT,1/15/18,15:00:00,REGULAR,6480282,2194047
16,A002,R051,02-00-00,59 ST,NQR456W,BMT,1/15/18,19:00:00,REGULAR,6480725,2194100
17,A002,R051,02-00-00,59 ST,NQR456W,BMT,1/15/18,23:00:00,REGULAR,6480902,2194123
18,A002,R051,02-00-00,59 ST,NQR456W,BMT,1/16/18,3:00:00,REGULAR,6480930,2194126
19,A002,R051,02-00-00,59 ST,NQR456W,BMT,1/16/18,7:00:00,REGULAR,6480938,2194165
20,A002,R051,02-00-00,59 ST,NQR456W,BMT,1/16/18,11:00:00,REGULAR,6481066,2194482
21,A002,R051,02-00-00,59 ST,NQR456W,BMT,1/16/18,15:00:00,REGULAR,6481267,2194576
22,A002,R051,02-00-00,59 ST,NQR456W,BMT,1/16/18,19:00:00,REGULAR,6482079,2194658
23,A002,R051,02-00-00,59 ST,NQR456W,BMT,1/16/18,23:00:00,REGULAR,6482351,2194692
24,A002,R051,02-00-00,59 ST,NQR456W,BMT,1/17/18,3:00:00,REGULAR,6482384,2194696
25,A002,R051,02-00-00,59 ST,NQR456W,BMT,1/17/18,7:00:00,REGULAR,6482407,2194739
26,A002,R051,02-00-00,59 ST,NQR456W,BMT,1/17/18,11:00:00,REGULAR,6482542,2195033
27,A002,R051,02-00-00,59 ST,NQR456W,BMT,1/17/18,15:00:00,REGULAR,6482744,2195107
28,A002,R051,02-00-00,59 ST,NQR456W,BMT,1/17/18,19:00:00,REGULAR,6483539,2195201
29,A002,R051,02-00-00,59 ST,NQR456W,BMT,1/17/18,23:00:00,REGULAR,6483821,2195247
30,A002,R051,02-00-00,59 ST,NQR456W,BMT,1/18/18,3:00:00,REGULAR,6483838,2195271
31,A002,R051,02-00-00,59 ST,NQR456W,BMT,1/18/18,7:00:00,REGULAR,6483859,2195309
32,A002,R051,02-00-00,59 ST,NQR456W,BMT,1/18/18,11:00:00,REGULAR,6483988,2195636
33,A002,R051,02-00-00,59 ST,NQR456W,BMT,1/18/18,15:00:00,REGULAR,6484212,2195731
34,A002,R051,02-00-00,59 ST,NQR456W,BMT,1/18/18,19:00:00,REGULAR,6484987,2195811
35,A002,R051,02-00-00,59 ST,NQR456W,BMT,1/18/18,23:00:00,REGULAR,6485256,2195851
36,A002,R051,02-00-00,59 ST,NQR456W,BMT,1/19/18,3:00:00,REGULAR,6485294,2195860
37,A002,R051,02-00-00,59 ST,NQR456W,BMT,1/19/18,7:00:00,REGULAR,6485306,2195899
38,A002,R051,02-00-00,59 ST,NQR456W,BMT,1/19/18,11:00:00,REGULAR,6485428,2196184
39,A002,R051,02-00-00,59 ST,NQR456W,BMT,1/19/18,15:00:00,REGULAR,6485653,2196258
40,A002,R051,02-00-00,59 ST,NQR456W,BMT,1/19/18,19:00:00,REGULAR,6486461,2196339
41,A002,R051,02-00-00,59 ST,NQR456W,BMT,1/19/18,23:00:00,REGULAR,6486729,2196356
42,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/13/18,3:00:00,REGULAR,5820677,1298925
43,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/13/18,7:00:00,REGULAR,5820689,1298935
44,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/13/18,11:00:00,REGULAR,5820725,1298969
45,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/13/18,15:00:00,REGULAR,5820876,1299014
46,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/13/18,19:00:00,REGULAR,5821130,1299053
47,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/13/18,23:00:00,REGULAR,5821257,1299078
48,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/14/18,3:00:00,REGULAR,5821283,1299080
49,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/14/18,7:00:00,REGULAR,5821291,1299085
50,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/14/18,11:00:00,REGULAR,5821321,1299113
51,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/14/18,15:00:00,REGULAR,5821444,1299141
52,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/14/18,19:00:00,REGULAR,5821596,1299171
