fips,lat,lon,elevation,slope1,slope2,slope3,slope4,slope5,slope6,slope7,slope8,aspectN,aspectE,aspectS,aspectW,aspectUnknown,WAT_LAND,NVG_LAND,URB_LAND,GRS_LAND,FOR_LAND,CULTRF_LAND,CULTIR_LAND,CULT_LAND,SQ1,SQ2,SQ3,SQ4,SQ5,SQ6,SQ7
1001,32.536382,-86.64449,63,0.0419,0.2788,0.2984,0.2497,0.1142,0.017,0,0,0.1033,0.1859,0.2003,0.1898,0.3207,0.997399986,27.94049835,0.288899988,2.750273705,10.71470261,56.29341125,1.014811039,57.30822372,1,1,1,1,1,1,2
1005,31.87067,-85.405456,146,0.0158,0.1868,0.5441,0.2424,0.0106,0.0003,0,0,0.1415,0.2379,0.2183,0.1997,0.2026,0,0,0.414599985,2.225601673,22.9528389,72.57880402,1.828158975,74.40695953,3,2,1,1,1,1,1
1003,30.659218,-87.746067,52,0.0746,0.437,0.4415,0.0469,0,0,0,0,0.1168,0.1386,0.1048,0.1282,0.5116,0,0,3.500999928,4.972455502,28.68599129,59.84363937,2.99691391,62.84055328,3,2,1,2,1,1,1
1007,33.015893,-87.127148,93,0.0144,0.1617,0.3714,0.3493,0.0898,0.0134,0,0,0.1971,0.1885,0.2279,0.2104,0.1761,0,0,0.22829999,8.674664497,89.17211151,1.916593432,0.008330499,1.924923897,3,2,1,1,1,1,1
1009,33.977448,-86.567246,198,0.005,0.0872,0.2799,0.3576,0.1477,0.1037,0.0189,0,0.2569,0.1503,0.2028,0.2978,0.0922,0,0,1.003700018,8.606856346,88.470047,1.891909361,0.027487669,1.919396996,3,2,1,1,1,1,1
1011,32.101759,-85.717261,152,0.0215,0.2157,0.5282,0.2253,0.0092,0.0001,0,0,0.1676,0.2007,0.195,0.1995,0.2372,0,0,0.345800012,8.837582588,90.15952301,0.610365331,0.046729289,0.657094598,3,2,1,1,1,1,1
1013,31.751667,-86.681969,103,0.0299,0.2987,0.5473,0.1207,0.0031,0.0003,0,0,0.1296,0.1992,0.1548,0.1878,0.3286,0,0,0.336100012,8.231111526,85.97369385,5.371551037,0.08754386,5.459095001,3,2,1,2,1,1,1
1015,33.771706,-85.822513,269,0.0051,0.0793,0.2525,0.2875,0.1658,0.1925,0.0173,0,0.2787,0.141,0.1677,0.3282,0.0844,0,0,5.388999939,7.897468567,45.25978851,40.91453934,0.539203584,41.45374298,3,2,1,1,1,1,1
1017,32.917943,-85.391812,239,0.0081,0.1286,0.4832,0.3502,0.0283,0.0016,0,0,0.1789,0.269,0.2029,0.2125,0.1367,0,0,0.3477,8.83713913,90.15981293,0.619837284,0.03551057,0.655347824,3,2,1,1,1,1,1
1019,34.069515,-85.654242,196,0.017,0.1892,0.3063,0.225,0.1155,0.1324,0.0139,0.0007,0.2301,0.2435,0.1483,0.1719,0.2062,0,0,11.32070065,13.74495411,24.07975769,50.09000397,0.764582992,50.85458755,3,2,1,1,1,1,1
